Leather boots,1061,1,3208,9620,0,
Leather boots,1061,1,3210,9615,0,
Jug,1935,1,3211,9625,0,
Knife,946,1,3215,9625,0,
Bucket,1925,1,3216,9625,0,
Cabbage,1965,1,3217,9622,0,
Brooch,5008,1,3230,9610,0,
Knife,946,1,3205,3212,0,
Bronze arrow,882,1,3205,3227,0,
Mind rune,558,1,3206,3208,0,
Bowl,1923,1,3208,3214,0,
Pot,1931,1,3209,3214,0,
Jug,1935,1,3211,3212,0,
Knife,946,1,3224,3202,0,
Swamp tar,1939,1,3179,3190,0,
Swamp tar,1939,1,3181,3193,0,
Swamp tar,1939,1,3179,3190,0,
Swamp tar,1939,1,3181,3193,0,
Bronze dagger,1205,1,3213,3216,1,
Onion,1957,1,3211,3247,1,
Logs,1511,1,3205,3224,2,
Logs,1511,1,3205,3226,2,
Logs,1511,1,3208,3225,2,
Logs,1511,1,3209,3224,2,
Bronze pickaxe,1265,1,3229,3215,2,
Bronze pickaxe,1265,1,3229,3223,2,
Bronze dagger,1205,1,3213,3216,1,
Swamp tar,1939,1,3179,3190,0,
Swamp tar,1939,1,3181,3193,0,
Knife,946,1,3205,3212,0,
Bronze arrow,882,1,3205,3227,0,
Mind rune,558,1,3206,3208,0,
Bowl,1923,1,3208,3214,0,
Pot,1931,1,3209,3214,0,
Jug,1935,1,3211,3212,0,
Knife,946,1,3224,3202,0,
Iron dagger,1203,1,3248,3245,0,
Bandos godsword,21060,1,1626,4843,0,
Swamp tar,1939,1,3193,3181,0,
Swamp tar,1939,1,3194,3168,0,
Swamp tar,1939,1,3179,3190,0,
Swamp tar,1939,1,3182,3165,0,
Swamp tar,1939,1,3183,3180,0,
Swamp tar,1939,1,3185,3161,0,
Swamp tar,1939,1,3189,3163,0,
Swamp tar,1939,1,3191,3162,0,
Swamp tar,1939,1,3170,3167,0,
Swamp tar,1939,1,3171,3177,0,
Swamp tar,1939,1,3171,3191,0,
Swamp tar,1939,1,3173,3166,0,
Swamp tar,1939,1,3173,3178,0,
Swamp tar,1939,1,3164,3169,0,
Swamp tar,1939,1,3164,3180,0,
Swamp tar,1939,1,3164,3187,0,
Swamp tar,1939,1,3181,3193,0,
Swamp tar,1939,1,3164,3169,0,
Swamp tar,1939,1,3164,3180,0,
Swamp tar,1939,1,3164,3187,0,
Knife,946,1,3205,3212,0,
Mind rune,558,1,3206,3208,0,
Swamp tar,1939,1,3170,3167,0,
Swamp tar,1939,1,3173,3166,0,
Swamp tar,1939,1,3182,3165,0,
Swamp tar,1939,1,3185,3161,0,
Swamp tar,1939,1,3189,3163,0,
Swamp tar,1939,1,3191,3162,0,
Leather gloves,1059,1,3148,3177,0,
Pot,1931,1,3148,3211,0,
Swamp tar,1939,1,3179,3190,0,
Swamp tar,1939,1,3181,3193,0,
Swamp tar,1939,1,3182,3165,0,
Swamp tar,1939,1,3183,3180,0,
Leather gloves,1059,1,3148,3177,0,
Swamp tar,1939,1,3164,3180,0,
Swamp tar,1939,1,3171,3177,0,
Swamp tar,1939,1,3173,3178,0,
Swamp tar,1939,1,3164,3187,0,
Swamp tar,1939,1,3171,3191,0,
Pot,1931,1,3148,3211,0,
Logs,1511,1,3106,3160,0,
Logs,1511,1,3105,3159,0,
Logs,1511,1,3106,3159,0,
Leather boots,1061,1,3111,3159,0,
Logs,1511,1,3105,3159,0,
Logs,1511,1,3106,3159,0,
Logs,1511,1,3106,3160,0,
Leather boots,1061,1,3111,3159,0,
Leather boots,1061,1,3112,3155,1,
Leather boots,1061,1,3112,3155,1,
Logs,1511,1,3105,3159,0,
Logs,1511,1,3106,3159,0,
Logs,1511,1,3106,3160,0,
Leather boots,1061,1,3111,3159,0,
Cheese,1985,1,3083,3260,0,
Tomato,1982,1,3085,3261,0,
Logs,1511,1,3089,3265,0,
Logs,1511,1,3089,3266,0,
Cheese,1985,1,3083,3260,0,
Tomato,1982,1,3085,3261,0,
Logs,1511,1,3089,3265,0,
Logs,1511,1,3089,3266,0,
Logs,1511,1,3089,3265,0,
Logs,1511,1,3089,3266,0,
Cheese,1985,1,3083,3260,0,
Tomato,1982,1,3085,3261,0,
Ahab's beer,6561,1,3049,3257,0,
Ahab's beer,6561,1,3049,3257,0,
Spade,952,1,3120,3359,0,
Bucket,1925,1,3121,3359,0,
Shears,1735,1,3126,3356,0,
Poison,273,1,3097,3366,0,
Rubber tube,276,1,3111,3367,0,
Bronze med helm,1139,1,3122,3360,0,
Fish food,272,1,3108,3356,1,
Tinderbox,590,1,3112,3369,2,
Fish food,272,1,3108,3356,1,
Poison,273,1,3097,3366,0,
Rubber tube,276,1,3111,3367,0,
Spade,952,1,3120,3359,0,
Bucket,1925,1,3121,3359,0,
Bronze med helm,1139,1,3122,3360,0,
Shears,1735,1,3126,3356,0,
Poison,273,1,3097,3366,0,
Logs,1511,1,3089,3265,0,
Logs,1511,1,3089,3266,0,
Ahab's beer,6561,1,3049,3257,0,
Cheese,1985,1,3083,3260,0,
Tomato,1982,1,3085,3261,0,
White apron,7957,1,3016,3229,0,
Bronze bolts,877,1,3016,3244,1,
Bronze bolts,877,1,3028,3259,1,
White apron,7957,1,3016,3229,0,
Ahab's beer,6561,1,3049,3257,0,
Bronze bolts,877,1,3016,3244,1,
Bronze bolts,877,1,3028,3259,1,
White apron,7957,1,3016,3229,0,
White apron,1005,1,3009,3204,0,
Banana,1963,1,3009,3207,0,
White apron,7957,1,3016,3229,0,
White apron,1005,1,3009,3204,0,
Banana,1963,1,3009,3207,0,
White apron,7957,1,3016,3229,0,
White apron,1005,1,3009,3204,0,
Banana,1963,1,3009,3207,0,
Broken fishing rod,6662,1,2984,3112,0,
Forlorn boot,6663,1,2984,3114,0,
White apron,1005,1,3009,3204,0,
Banana,1963,1,3009,3207,0,
Bronze arrow,882,1,2957,3205,0,
Logs,1511,1,2958,3205,0,
Logs,1511,1,2959,3205,0,
Bronze pickaxe,1265,1,2963,3216,0,
Bronze arrow,882,1,2957,3205,0,
Logs,1511,1,2958,3205,0,
Logs,1511,1,2959,3205,0,
Bronze pickaxe,1265,1,2963,3216,0,
Jug,1935,1,2936,3292,0,
Bracelet mould,11065,1,2928,3289,0,
Amulet mould,1595,1,2928,3290,0,
Hammer,2347,1,2934,3286,0,
Chisel,1755,1,2935,3286,0,
Snape grass,231,1,2917,3274,0,
Snape grass,231,1,2906,3297,0,
Snape grass,231,1,2907,3295,0,
Jug,1935,1,2936,3292,0,
Bronze arrow,882,2,2944,3332,0,
Hammer,2347,1,2934,3286,0,
Chisel,1755,1,2935,3286,0,
Snape grass,231,1,2906,3297,0,
Bronze arrow,882,2,2944,3332,0,
Snape grass,231,1,2907,3295,0,
Bracelet mould,11065,1,2928,3289,0,
Amulet mould,1595,1,2928,3290,0,
Jug,1935,1,2936,3292,0,
Hammer,2347,1,2934,3286,0,
Chisel,1755,1,2935,3286,0,
Egg,1944,1,3016,3295,0,
Egg,1944,1,3017,3295,0,
Bucket,1925,1,3020,3291,0,
Bucket,1925,1,3026,3289,0,
Bronze pickaxe,1265,1,3009,3342,0,
Bronze pickaxe,1265,1,3009,3342,0,
Bronze pickaxe,1265,1,3009,3342,0,
Egg,1944,1,3016,3295,0,
Egg,1944,1,3017,3295,0,
Bucket,1925,1,3020,3291,0,
Ahab's beer,6561,1,3049,3257,0,
Ahab's beer,6561,1,3049,3257,0,
